hunt_code,hunt_name,species,residency,hunt_class,permits_2026_total,change_flags,recommended_review
LO1596,Fishlake,Deer,Resident,Private Land Only,1,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1597,Zion,Deer,Nonresident,Private Land Only,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1597,Zion,Deer,Resident,Private Land Only,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1627,Cache,Deer,Nonresident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1627,Cache,Deer,Resident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1628,Cache,Deer,Nonresident,Private Land Only,2,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1628,Cache,Deer,Resident,Private Land Only,2,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1631,Box Elder,Deer,Nonresident,Private Land Only,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1631,Box Elder,Deer,Resident,Private Land Only,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
MB6201,Beaver Hollow CWMU,Moose,Nonresident,CWMU,1,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
MB6201,Beaver Hollow CWMU,Moose,Resident,CWMU,1,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
RS0001,Rocky Mountain Bighorn Sheep - Statewide Permit,Rocky Mountain Bighorn Sheep,Nonresident,Statewide Permit,1,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
RS0001,Rocky Mountain Bighorn Sheep - Statewide Permit,Rocky Mountain Bighorn Sheep,Resident,Statewide Permit,1,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
RS1001,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,Nonresident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
RS1001,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,Resident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
RS1003,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Nonresident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
RS1003,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Resident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
RS1006,"Nine Mile, Gray Canyon",Rocky Mountain Bighorn Sheep,Nonresident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
RS1006,"Nine Mile, Gray Canyon",Rocky Mountain Bighorn Sheep,Resident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
TK1001,Northern Region - Private land only,Turkey,Nonresident,Private Land Only,2060,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
TK1001,Northern Region - Private land only,Turkey,Resident,Private Land Only,2060,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
TK1018,Pahvant Ensign CWMU,Turkey,Nonresident,CWMU,6,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
TK1018,Pahvant Ensign CWMU,Turkey,Resident,CWMU,6,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
TK1019,Southeastern Region - Select areas only,Turkey,Nonresident,Management,66,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
TK1019,Southeastern Region - Select areas only,Turkey,Resident,Management,66,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
TK1020,Central Region - Private land only,Turkey,Nonresident,Private Land Only,800,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
TK1020,Central Region - Private land only,Turkey,Resident,Private Land Only,800,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
TK1021,East Zion CWMU,Turkey,Nonresident,CWMU,4,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
TK1021,East Zion CWMU,Turkey,Resident,CWMU,4,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
TK1022,Southern Region - Select areas only,Turkey,Nonresident,Management,155,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
TK1022,Southern Region - Select areas only,Turkey,Resident,Management,155,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
