current_hunt_code,current_hunt_name,current_species,current_hunt_type,current_weapon,current_2026_total,comparison_status,guidebook_match_status,guidebook_candidate_codes,guidebook_candidate_pages,guidebook_candidate_names,guidebook_candidate_lines,match_method,review_priority,review_reason
EB1010,Any Bull Elk Units,Elk,General Season - Any Bull,Any Legal Weapon,17,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EB3209,"Box Elder, Pilot Mtn",Elk,Conservation,Multiseason,1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,EB3130|EB3031,50|52,"Box Elder, Pilot Mtn","Box Elder, Pilot Mtn EB3130 Aug. 16–Sept. 7|Box Elder, Pilot Mtn EB3031 Sept. 13–Oct. 3",same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
GO1000,Mountain Goat - Statewide Permit,Mountain Goat,Statewide,Any Legal Weapon,1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
RS0001,Rocky Mountain Bighorn Sheep - Statewide Permit,Rocky Mountain Bighorn Sheep,Statewide,Any Legal Weapon,1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
TK1001,Northern Region - Private land only,Turkey,Fall Management,Any Legal Weapon,2060,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
TK1019,Southeastern Region - Select areas only,Turkey,Fall Management,Any Legal Weapon,66,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
TK1022,Southern Region - Select areas only,Turkey,Fall Management,Any Legal Weapon,155,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1287,"Box Elder, Grouse Creek",Elk,General Season,Any Legal Weapon,30,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,EB3147|EB3150|EB3153,52|53|55,"Box Elder, Grouse Creek","Box Elder, Grouse Creek EB3147 Sept. 17–Sept. 21|Box Elder, Grouse Creek EB3150 Oct. 4–Oct. 16|Box Elder, Grouse Creek EB3153 Sept. 22–Oct. 3",same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
EA1288,"Manti, Ferron Lower Escarpment",Elk,General Season,Any Legal Weapon,40,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1289,"Manti, Ferron Lower Escarpment",Elk,General Season,Any Legal Weapon,40,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1290,"Manti, Ferron Lower Escarpment",Elk,General Season,Any Legal Weapon,40,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1291,"Mt Dutton, North",Elk,General Season,Any Legal Weapon,80,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1292,"Mt Dutton, North",Elk,General Season,Any Legal Weapon,80,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1053,"Nine Mile, West Anthro",Elk,General Season,Any Legal Weapon,50,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1293,"North Slope, Three Corners",Elk,General Season,Any Legal Weapon,25,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,EB3013|EB3210|EB3053|EB3091|EB3115,50|52|53|55|56,"North Slope, Three Corners|North Slope, Three Corners (new)","North Slope, Three Corners EB3013 Aug. 16–Sept. 16|North Slope, Three Corners (new) EB3210 Sept. 17–Sept. 21|North Slope, Three Corners EB3053 Oct. 4–Oct. 16|North Slope, Three Corners EB3091 Sept. 22–Oct. 3|North Slope, Three Corners EB3115 Limited-entry seasons",same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
EA1294,"Paunsaugunt, East Creek",Elk,General Season,Any Legal Weapon,25,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1295,"Wasatch Mtns, Avintaquin",Elk,General Season,Muzzleloader,100,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1007,"Wasatch Mtns, Currant Creek",Elk,General Season,Any Legal Weapon,200,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1296,"Wasatch Mtns, Currant Creek",Elk,General Season,Muzzleloader,100,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1297,"Wasatch Mtns, Red Creek West",Elk,General Season,Any Legal Weapon,100,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1299,"Wasatch Mtns, West-Central",Elk,General Season,Any Legal Weapon,50,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1300,"Wasatch Mtns, West-Central",Elk,General Season,Any Legal Weapon,50,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA1298,"Wasatch Mtns, Wildcat/Timber Canyon",Elk,General Season,Any Legal Weapon,100,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
PD1039,"Panguitch Lake/Zion, North",Pronghorn,General Season,Any Legal Weapon,40,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,PB5054|PB5061|PB5041,58|59,"Panguitch Lake/Zion, North","Panguitch Lake/Zion, North PB5054 Aug. 16–Sept. 12|Panguitch Lake/Zion, North PB5061 Sept. 24–Oct. 2|Panguitch Lake/Zion, North PB5041 Sept. 13–Sept. 21",same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
