hunt_code,hunt_name,weapon,hunt_type,season_dates_2026,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res_allotted,permits_2026_nr_allotted,permits_2026_total_allotted,database_2026_res,database_2026_nr,database_2026_total,runtime_2026_res,runtime_2026_nr,runtime_2026_total,database_delta_res,database_delta_nr,database_delta_total,runtime_delta_res,runtime_delta_nr,runtime_delta_total,database_status,runtime_status,significant_database_difference,significant_runtime_difference,source_document,source_note
EA1276,"Wasatch Mtns, Box Elder Peak",Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,40,5,45,40,5,45,40,5,45,40,5,45,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1007,"Wasatch Mtns, Currant Creek",Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,0,0,0,180,20,200,180,20,200,180,20,200,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1296,"Wasatch Mtns, Currant Creek",Muzzleloader,General Season,Oct 28 2026 - Nov 05 2026,0,0,0,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1264,"Wasatch Mtns, Rabbit Gulch",Any Legal Weapon,General Season,Jan 16 2027 - Jan 24 2027,45,5,50,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1297,"Wasatch Mtns, Red Creek West",Any Legal Weapon,General Season,Dec 12 2026 - Dec 20 2026,0,0,0,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1110,"Wasatch Mtns, Salt Lake",Any Legal Weapon,General Season,Nov 14 2026 - Jan 31 2027,40,5,45,40,5,45,40,5,45,40,5,45,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1265,"Wasatch Mtns, Tabby Mtn",Any Legal Weapon,General Season,Dec 19 2026 - Dec 27 2026,90,10,100,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1111,"Wasatch Mtns, Wallsburg",Any Legal Weapon,General Season,Nov 14 2026 - Dec 13 2026,31,4,35,31,4,35,31,4,35,31,4,35,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1112,"Wasatch Mtns, Wallsburg",Any Legal Weapon,General Season,Dec 19 2026 - Jan 31 2027,49,6,55,49,6,55,49,6,55,49,6,55,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1189,"Wasatch Mtns, West-Central",Muzzleloader,General Season,Oct 31 2026 - Nov 08 2026,382,43,425,382,43,425,382,43,425,382,43,425,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1299,"Wasatch Mtns, West-Central",Any Legal Weapon,General Season,Nov 21 2026 - Nov 29 2026,0,0,0,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1300,"Wasatch Mtns, West-Central",Any Legal Weapon,General Season,Jan 23 2027 - Jan 31 2027,0,0,0,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1113,"Wasatch Mtns, West Heber",Any Legal Weapon,General Season,Nov 14 2026 - Jan 31 2027,27,3,30,27,3,30,27,3,30,27,3,30,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1114,"Wasatch Mtns, West Timpanogos",Any Legal Weapon,General Season,Nov 14 2026 - Jan 31 2027,22,3,25,22,3,25,22,3,25,22,3,25,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1298,"Wasatch Mtns, Wildcat/Timber Canyon",Any Legal Weapon,General Season,Dec 12 2026 - Dec 20 2026,0,0,0,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1231,"West Desert, Tintic Valley",Any Legal Weapon,General Season,Nov 07 2026 - Jan 31 2027,45,5,50,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1244,Yellowstone,Any Legal Weapon,General Season,Oct 03 2026 - Oct 16 2026,90,10,100,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1245,Yellowstone,Muzzleloader,General Season,Oct 28 2026 - Nov 05 2026,45,5,50,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA2037,Yellowstone,Archery,General Season,Aug 15 2026 - Sept 16 2026,180,20,200,180,20,200,180,20,200,180,20,200,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1117,Zion,Any Legal Weapon,General Season,Nov 11 2026 - Jan 10 2027,198,22,220,198,22,220,198,22,220,198,22,220,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
