"hunt_code","boundary_id","hunt_name","species","hunt_class","hunt_type","draw_family","weapon","sex_type","youth_flag","eligibility_class","season","permits_2025_res","permits_2025_nr","permits_2025_total","avg_points_2025","hunters_2025","harvest_2025","success_percent_2025","avg_days_2025","satisfaction_2025","access_type","permits_2026_res","permits_2026_nr","permits_2026_total","permit_status","permit_allocation_type","permit_source_authority","permit_note","has_harvest","has_bonus_draw","has_antlerless_draw","source_file","permit_overlay_source","source_authority","data_status","permits_2025_draw_res","permits_2025_draw_nr","draw_2025_bg_pdf_page","draw_2025_bg_report_page","draw_2025_type","draw_2025_species_section","permits_2025_draw_total","huntCode","code","title","unitName","unitCode","boundaryId","boundary_id_numeric","boundary_token","resolvedBoundaryIds"
"DB1556","620","Wasatch Mtns, West","Deer","General Season","General Season","NONE","Any Legal Weapon (Late)","Buck","False","STANDARD","Oct 17 2026 - Oct 25 2026","","","","","2928.0","825.0","28.2","3.7","3.2","Public","4740","","4740","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1556","DB1556","Wasatch Mtns, West","Wasatch Mtns, West","620","620","620","620","620"
"DB1559","635","Zion","Deer","General Season","General Season","NONE","Any Legal Weapon (Late)","Buck","False","STANDARD","Oct 17 2026 - Oct 25 2026","","","","","1116.0","694.0","62.2","4.3","3.7","Public","1350","","1350","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1559","DB1559","Zion","Zion","635","635","635","635","635"
"DB1591","804","Fillmore","Deer","General Season","General Season","NONE","Any Legal Weapon (Early)","Buck","False","STANDARD","Oct 07 2026 - Oct 11 2026","","","","","323.0","157.0","48.6","3.2","3.4","Public","460","","460","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1591","DB1591","Fillmore","Fillmore","804","804","804","804","804"
"DB1592","611","Kamas","Deer","General Season","General Season","NONE","Any Legal Weapon (Early)","Buck","False","STANDARD","Oct 07 2026 - Oct 11 2026","","","","","194.0","38.0","19.6","3.1","3.2","Public","200","","200","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1592","DB1592","Kamas","Kamas","611","611","611","611","611"
"DB1593","615","Nine Mile","Deer","General Season","General Season","NONE","Any Legal Weapon (Early)","Buck","False","STANDARD","Oct 07 2026 - Oct 11 2026","","","","","181.0","66.0","36.5","3.3","3.0","Public","280","","280","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1593","DB1593","Nine Mile","Nine Mile","615","615","615","615","615"
"DB1594","634","Panguitch Lake","Deer","General Season","General Season","NONE","Any Legal Weapon (Early)","Buck","False","STANDARD","Oct 07 2026 - Oct 11 2026","","","","","348.0","186.0","53.4","3.2","3.8","Public","500","","500","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1594","DB1594","Panguitch Lake","Panguitch Lake","634","634","634","634","634"
"DB1595","636","Pine Valley","Deer","General Season","General Season","NONE","Any Legal Weapon (Early)","Buck","False","STANDARD","Oct 07 2026 - Oct 11 2026","","","","","441.0","156.0","35.4","3.6","3.3","Public","600","","600","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1595","DB1595","Pine Valley","Pine Valley","636","636","636","636","636"
"DB1596","633","Fishlake","Deer","General Season","General Season","NONE","Any Legal Weapon (Early)","Buck","False","STANDARD","Oct 07 2026 - Oct 11 2026","","","","","191.0","95.0","49.7","3.1","3.4","Public","260","","260","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1596","DB1596","Fishlake","Fishlake","633","633","633","633","633"
"DB1597","635","Zion","Deer","General Season","General Season","NONE","Any Legal Weapon (Early)","Buck","False","STANDARD","Oct 07 2026 - Oct 11 2026","","","","","479.0","236.0","49.3","3.5","3.6","Public","675","","675","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1597","DB1597","Zion","Zion","635","635","635","635","635"
"DB1598","612","North Slope","Deer","General Season","General Season","NONE","Any Legal Weapon (Early)","Buck","False","STANDARD","Oct 07 2026 - Oct 11 2026","","","","","474.0","147.0","31.0","3.3","3.1","Public","620","","620","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1598","DB1598","North Slope","North Slope","612","612","612","612","612"
"DB1599","69","Chalk Creek","Deer","General Season","General Season","NONE","Any Legal Weapon (Late)","Buck","False","STANDARD","Oct 17 2026 - Oct 25 2026","","","","","709.0","305.0","43.0","3.8","3.7","Public","880","","880","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1599","DB1599","Chalk Creek","Chalk Creek","69","69","69","69","69"
"DB1601","69","Chalk Creek","Deer","General Season","General Season","NONE","Any Legal Weapon (Early)","Buck","False","STANDARD","Oct 07 2026 - Oct 11 2026","","","","","325.0","104.0","32.0","2.9","3.4","Public","440","","440","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1601","DB1601","Chalk Creek","Chalk Creek","69","69","69","69","69"
"DB1603","276","East Canyon","Deer","General Season","General Season","NONE","Any Legal Weapon (Late)","Buck","False","STANDARD","Oct 17 2026 - Oct 25 2026","","","","","626.0","205.0","32.7","3.8","3.3","Public","760","","760","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1603","DB1603","East Canyon","East Canyon","276","276","276","276","276"
"DB1605","276","East Canyon","Deer","General Season","General Season","NONE","Any Legal Weapon (Early)","Buck","False","STANDARD","Oct 07 2026 - Oct 11 2026","","","","","274.0","65.0","23.7","3.0","3.2","Public","380","","380","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1605","DB1605","East Canyon","East Canyon","276","276","276","276","276"
"DB1607","117","Morgan-South Rich","Deer","General Season","General Season","NONE","Any Legal Weapon (Late)","Buck","False","STANDARD","Oct 17 2026 - Oct 25 2026","","","","","516.0","155.0","30.0","3.4","3.1","Public","640","","640","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1607","DB1607","Morgan-South Rich","Morgan-South Rich","117","117","117","117","117"
"DB1609","117","Morgan-South Rich","Deer","General Season","General Season","NONE","Any Legal Weapon (Early)","Buck","False","STANDARD","Oct 07 2026 - Oct 11 2026","","","","","226.0","47.0","20.8","3.0","2.9","Public","320","","320","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1609","DB1609","Morgan-South Rich","Morgan-South Rich","117","117","117","117","117"
"DB1613","685","Beaver, East","Deer","General Season","General Season","NONE","Any Legal Weapon (Late)","Buck","False","STANDARD","Oct 17 2026 - Oct 25 2026","","","","","989.0","494.0","49.9","4.3","3.2","Public","1320","","1320","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1613","DB1613","Beaver, East","Beaver, East","685","685","685","685","685"
"DB1619","926","West Desert, Swasey","Deer","General Season","General Season","NONE","Any Legal Weapon (Late)","Buck","False","STANDARD","Oct 17 2026 - Oct 25 2026","","","","","190.0","44.0","23.2","4.5","2.7","Public","240","","240","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1619","DB1619","West Desert, Swasey","West Desert, Swasey","926","926","926","926","926"
"DB1622","927","Oquirrh/Tintic","Deer","General Season","General Season","NONE","Any Legal Weapon (Late)","Buck","False","STANDARD","Oct 17 2026 - Oct 25 2026","","","","","1270.0","598.0","47.1","4.0","3.4","Public","1350","","1350","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1622","DB1622","Oquirrh/Tintic","Oquirrh/Tintic","927","927","927","927","927"
"DB1625","925","Cedar/Stansbury","Deer","General Season","General Season","NONE","Any Legal Weapon (Late)","Buck","False","STANDARD","Oct 17 2026 - Oct 25 2026","","","","","559.0","207.0","37.0","4.1","3.1","Public","750","","750","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1625","DB1625","Cedar/Stansbury","Cedar/Stansbury","925","925","925","925","925"
"DB1631","607","Box Elder","Deer","General Season","General Season","NONE","Any Legal Weapon (Early)","Buck","False","STANDARD","Oct 07 2026 - Oct 11 2026","","","","","784.0","222.0","28.3","3.1","3.0","Public","1040","","1040","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1631","DB1631","Box Elder","Box Elder","607","607","607","607","607"
"DA1001","28","Box Elder, West Bear River","Deer","Antlerless","General Season","ANTLERLESS","Archery, Muzzleloader, Shotgun","Antlerless","False","STANDARD","Aug 18 2025 - Aug 30 2025","24.0","0.0","24.0","","22.0","5.0","22.7","4.4","3.0","Public","","","30","TOTAL_ONLY","DWR_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.","True","False","True","antlerless deer.xlsx","2026_deer_antlerless_general.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DA1001","DA1001","Box Elder, West Bear River","Box Elder, West Bear River","28","28","28","28","28"
"DA1002","28","Box Elder, West Bear River","Deer","Antlerless","General Season","ANTLERLESS","Archery, Muzzleloader, Shotgun","Antlerless","False","STANDARD","Nov 24 2025 - Nov 29 2025","24.0","0.0","24.0","","17.0","3.0","17.6","2.4","2.8","Public","","","30","TOTAL_ONLY","DWR_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.","True","False","True","antlerless deer.xlsx","2026_deer_antlerless_general.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DA1002","DA1002","Box Elder, West Bear River","Box Elder, West Bear River","28","28","28","28","28"
"DA1003","115","Monroe/Plateau, Sevier Valley","Deer","Antlerless","General Season","ANTLERLESS","Archery, Muzzleloader, Shotgun","Antlerless","False","STANDARD","Sep 01 2025 - Sep 30 2025","11.0","1.0","12.0","","7.0","1.0","14.3","2.7","3.8","Public","","","15","TOTAL_ONLY","DWR_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.","True","False","True","antlerless deer.xlsx","2026_deer_antlerless_general.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DA1003","DA1003","Monroe/Plateau, Sevier Valley","Monroe/Plateau, Sevier Valley","115","115","115","115","115"
"DA1018","840","Pine Valley, New Harmony","Deer","Antlerless","General Season","ANTLERLESS","Archery, Muzzleloader, Shotgun","Antlerless","False","STANDARD","Aug 01 2025 - Aug 15 2025","15.0","1.0","16.0","","15.0","8.0","53.3","5.1","3.4","Public","","","20","TOTAL_ONLY","DWR_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.","True","False","True","antlerless deer.xlsx","2026_deer_antlerless_general.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DA1018","DA1018","Pine Valley, New Harmony","Pine Valley, New Harmony","840","840","840","840","840"
"DA1030","11","Nine Mile, Price River Valley","Deer","Antlerless","General Season","ANTLERLESS","Archery","Antlerless","False","STANDARD","Aug 16 2025 - Sep 12 2025","19.0","1.0","20.0","","14.0","2.0","14.3","3.8","2.8","Public","","","25","TOTAL_ONLY","DWR_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.","True","False","True","antlerless deer.xlsx","2026_deer_antlerless_general.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DA1030","DA1030","Nine Mile, Price River Valley","Nine Mile, Price River Valley","11","11","11","11","11"
"DA1031","21","Oquirrh-Stansbury, Settlement Cyn","Deer","Antlerless","General Season","ANTLERLESS","Archery","Antlerless","False","STANDARD","Aug 16 2025 - Sep 12 2025","16.0","0.0","16.0","","15.0","11.0","73.3","4.7","3.5","Public","","","20","TOTAL_ONLY","DWR_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.","True","False","True","antlerless deer.xlsx","2026_deer_antlerless_general.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DA1031","DA1031","Oquirrh-Stansbury, Settlement Cyn","Oquirrh-Stansbury, Settlement Cyn","21","21","21","21","21"
"DA1033","23","San Juan, Monticello","Deer","Antlerless","General Season","ANTLERLESS","Archery","Antlerless","False","STANDARD","Aug 01 2025 - Sep 14 2025","4.0","0.0","4.0","","5.0","4.0","80.0","1.8","4.6","Public","","","5","TOTAL_ONLY","DWR_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.","True","False","True","antlerless deer.xlsx","2026_deer_antlerless_general.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DA1033","DA1033","San Juan, Monticello","San Juan, Monticello","23","23","23","23","23"
"DA1042","23","San Juan, Monticello","Deer","Antlerless","General Season","ANTLERLESS","Archery","Antlerless","False","STANDARD","Nov 24 2025 - Dec 31 2025","4.0","0.0","4.0","","4.0","4.0","100.0","1.7","4.0","Public","","","5","TOTAL_ONLY","DWR_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.","True","False","True","antlerless deer.xlsx","2026_deer_antlerless_general.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DA1042","DA1042","San Juan, Monticello","San Juan, Monticello","23","23","23","23","23"
"DA1045","474","Fillmore, Oak City","Deer","Antlerless","General Season","ANTLERLESS","Archery","Antlerless","False","STANDARD","Aug 01 2025 - Sep 04 2025","16.0","0.0","16.0","","12.0","5.0","41.7","4.2","3.8","Public","","","20","TOTAL_ONLY","DWR_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.","True","False","True","antlerless deer.xlsx","2026_deer_antlerless_general.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DA1045","DA1045","Fillmore, Oak City","Fillmore, Oak City","474","474","474","474","474"
"DA1046","11","Nine Mile, Price River Valley","Deer","Antlerless","General Season","ANTLERLESS","Archery, Muzzleloader, Shotgun","Antlerless","False","STANDARD","Sep 13 2025 - Oct 12 2025","20.0","0.0","20.0","","20.0","10.0","50.0","5.2","3.0","Public","","","25","TOTAL_ONLY","DWR_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.","True","False","True","antlerless deer.xlsx","2026_deer_antlerless_general.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DA1046","DA1046","Nine Mile, Price River Valley","Nine Mile, Price River Valley","11","11","11","11","11"
"DA1048","910","Fillmore City","Deer","Antlerless","General Season","ANTLERLESS","Archery","Antlerless","False","STANDARD","Aug 01 2025 - Sep 04 2025","12.0","0.0","12.0","","8.0","2.0","25.0","4.7","2.4","Public","","","15","TOTAL_ONLY","DWR_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.","True","False","True","antlerless deer.xlsx","2026_deer_antlerless_general.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DA1048","DA1048","Fillmore City","Fillmore City","910","910","910","910","910"
"DA1049","909","Vernal, Ashley Valley","Deer","Antlerless","General Season","ANTLERLESS","Archery","Antlerless","False","STANDARD","Aug 16 2025 - Dec 12 2025","27.0","1.0","28.0","","27.0","9.0","33.3","6.1","3.2","Public","","","35","TOTAL_ONLY","DWR_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_antlerless_general.csv; no resident/nonresident split published in this source.","True","False","True","antlerless deer.xlsx","2026_deer_antlerless_general.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DA1049","DA1049","Vernal, Ashley Valley","Vernal, Ashley Valley","909","909","909","909","909"
"DB1501","607","Box Elder","Deer","General Season","General Season","NONE","Archery","Buck","False","STANDARD","Aug 15 2026 - Sept 11 2026","","","","","711.0","164.0","23.1","9.5","3.2","Public","1040","","1040","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1501","DB1501","Box Elder","Box Elder","607","607","607","607","607"
"DB1502","29","Cache","Deer","General Season","General Season","NONE","Archery","Buck","False","STANDARD","Aug 15 2026 - Sept 11 2026","","","","","755.0","119.0","15.8","8.2","3.3","Public","1160","","1160","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1502","DB1502","Cache","Cache","29","29","29","29","29"
"DB1503","619","Manti/San Rafael","Deer","General Season","General Season","NONE","Archery","Buck","False","STANDARD","Aug 15 2026 - Sept 11 2026","","","","","1168.0","250.0","21.4","7.7","3.5","Public","1800","","1800","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1503","DB1503","Manti/San Rafael","Manti/San Rafael","619","619","619","619","619"
"DB1504","616","Nebo","Deer","General Season","General Season","NONE","Archery","Buck","False","STANDARD","Aug 15 2026 - Sept 11 2026","","","","","641.0","123.0","19.2","8.3","3.3","Public","1060","","1060","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1504","DB1504","Nebo","Nebo","616","616","616","616","616"
"DB1506","804","Fillmore","Deer","General Season","General Season","NONE","Archery","Buck","False","STANDARD","Aug 15 2026 - Sept 11 2026","","","","","316.0","101.0","32.0","7.3","3.6","Public","460","","460","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1506","DB1506","Fillmore","Fillmore","804","804","804","804","804"
"DB1508","611","Kamas","Deer","General Season","General Season","NONE","Archery","Buck","False","STANDARD","Aug 15 2026 - Sept 11 2026","","","","","176.0","29.0","16.5","7.7","3.3","Public","200","","200","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1508","DB1508","Kamas","Kamas","611","611","611","611","611"
"DB1509","617","La Sal Mtns","Deer","General Season","General Season","NONE","Archery","Buck","False","STANDARD","Aug 15 2026 - Sept 11 2026","","","","","232.0","112.0","48.3","6.1","4.0","Public","360","","360","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1509","DB1509","La Sal Mtns","La Sal Mtns","617","617","617","617","617"
"DB1510","629","Monroe","Deer","General Season","General Season","NONE","Archery","Buck","False","STANDARD","Aug 15 2026 - Sept 11 2026","","","","","50.0","19.0","38.0","8.4","3.2","Public","220","","220","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1510","DB1510","Monroe","Monroe","629","629","629","629","629"
"DB1511","630","Mt Dutton","Deer","General Season","General Season","NONE","Archery","Buck","False","STANDARD","Aug 15 2026 - Sept 11 2026","","","","","56.0","11.0","19.6","7.3","3.9","Public","80","","80","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1511","DB1511","Mt Dutton","Mt Dutton","630","630","630","630","630"
"DB1512","615","Nine Mile","Deer","General Season","General Season","NONE","Archery","Buck","False","STANDARD","Aug 15 2026 - Sept 11 2026","","","","","147.0","44.0","29.9","9.4","3.1","Public","280","","280","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1512","DB1512","Nine Mile","Nine Mile","615","615","615","615","615"
"DB1513","612","North Slope","Deer","General Season","General Season","NONE","Archery","Buck","False","STANDARD","Aug 15 2026 - Sept 11 2026","","","","","384.0","51.0","13.3","8.8","3.2","Public","620","","620","TOTAL_ONLY","GENERAL_SEASON_TOTAL","Utah DWR Hunt Planner","2026 total allotment from Utah DWR Hunt Planner export 2026_deer_general_season.csv; no resident/nonresident split published in this source.","True","False","False","buck_deer.xlsx","2026_deer_general_season.csv","official_uploaded_source","COMPLETE_TOTAL_ONLY","","","","","","","","DB1513","DB1513","North Slope","North Slope","612","612","612","612","612"
